# lat,lon,radius(m),speed(kn)
39.4721764,-0.3768451,5,1
39.4693870,-0.3753939,3,1
39.4693620,-0.3756247,3,1
39.4693847,-0.3770890,3,1
39.4695603,-0.3754704,3,1
39.4697337,-0.3755469,3,1
39.4695671,-0.3770821,3,1
39.4697495,-0.3770752,3,1
39.4699070,-0.3756234,3,1
39.4700803,-0.3757000,3,1
39.4699319,-0.3770683,3,1
39.4701143,-0.3770613,3,1
39.4702537,-0.3757765,3,1
39.4704270,-0.3758530,3,1
39.4702967,-0.3770544,3,1
39.4704790,-0.3770475,3,1
39.4706003,-0.3759295,3,1
39.4707737,-0.3760060,3,1
39.4706614,-0.3770406,3,1
39.4708438,-0.3770337,3,1
39.4709470,-0.3760825,3,1
39.4711203,-0.3761590,3,1
39.4710262,-0.3770268,3,1
39.4712086,-0.3770198,3,1
39.4712937,-0.3762355,3,1
39.4714670,-0.3763120,3,1
39.4713910,-0.3770129,3,1
39.4715733,-0.3770060,3,1
39.4716403,-0.3763885,3,1
39.4692078,-0.3755228,5,1
