# lat,lon,radius(m),speed(kn)
39.3217334,-0.5823527,5,1
39.3218560,-0.5822718,3,1
39.3220359,-0.5822718,3,1
39.3224241,-0.5823532,3,1
39.3218580,-0.5823532,3,1
39.3218600,-0.5824346,3,1
39.3225733,-0.5824346,3,1
39.3225697,-0.5825160,3,1
39.3218620,-0.5825160,3,1
39.3218639,-0.5825974,3,1
39.3225660,-0.5825974,3,1
39.3225624,-0.5826787,3,1
39.3218659,-0.5826787,3,1
39.3218679,-0.5827601,3,1
39.3225588,-0.5827601,3,1
39.3225551,-0.5828415,3,1
39.3218699,-0.5828415,3,1
39.3218719,-0.5829229,3,1
39.3222109,-0.5829229,3,1
39.3217417,-0.5827378,5,1
